| SaleDate            | Amount | Salesperson         |
| 2021-01-08 00:00:00 | 9562   | Karlen McCaffrey    |
| 2021-01-08 00:00:00 | 2373   | Rafaelita Blaksland |
| 2021-01-08 00:00:00 | 2807   | Ches Bonnell        |
| 2021-01-08 00:00:00 | 420    | Brien Boise         |
| 2021-01-08 00:00:00 | 8239   | Curtice Advani      |
| 2021-01-08 00:00:00 | 6797   | Gigi Bohling        |
| 2021-01-08 00:00:00 | 6048   | Jehu Rudeforth      |
| 2021-01-08 00:00:00 | 364    | Gigi Bohling        |
| 2021-01-08 00:00:00 | 6496   | Beverie Moffet      |
| 2021-01-08 00:00:00 | 1057   | Roddy Speechley     |
| 2021-01-08 00:00:00 | 357    | Ches Bonnell        |
| 2021-01-08 00:00:00 | 6419   | Ches Bonnell        |
| 2021-01-08 00:00:00 | 12726  | Ches Bonnell        |
| 2021-01-11 00:00:00 | 6006   | Marney O'Breen      |
| 2021-01-11 00:00:00 | 5124   | Kelci Walkden       |
| 2021-01-11 00:00:00 | 2709   | Van Tuxwell         |
| 2021-01-11 00:00:00 | 7238   | Barr Faughny        |
| 2021-01-12 00:00:00 | 6776   | Curtice Advani      |
| 2021-01-12 00:00:00 | 189    | Husein Augar        |
| 2021-01-12 00:00:00 | 4669   | Ches Bonnell        |
| 2021-01-12 00:00:00 | 490    | Barr Faughny        |
| 2021-01-12 00:00:00 | 4235   | Ches Bonnell        |
| 2021-01-12 00:00:00 | 4487   | Jan Morforth        |
| 2021-01-12 00:00:00 | 2653   | Dennison Crosswaite |
| 2021-01-12 00:00:00 | 5306   | Wilone O'Kielt      |
| 2021-01-12 00:00:00 | 6888   | Marney O'Breen      |
| 2021-01-12 00:00:00 | 721    | Ches Bonnell        |
| 2021-01-12 00:00:00 | 8610   | Dotty Strutley      |
| 2021-01-12 00:00:00 | 11739  | Brien Boise         |
| 2021-01-13 00:00:00 | 4774   | Marney O'Breen      |
| 2021-01-13 00:00:00 | 6307   | Brien Boise         |
| 2021-01-13 00:00:00 | 4340   | Mallorie Waber      |
| 2021-01-13 00:00:00 | 1078   | Andria Kimpton      |
| 2021-01-13 00:00:00 | 5418   | Jan Morforth        |
| 2021-01-13 00:00:00 | 6069   | Gunar Cockshoot     |
| 2021-01-13 00:00:00 | 12334  | Kelci Walkden       |
| 2021-01-13 00:00:00 | 728    | Ches Bonnell        |
| 2021-01-13 00:00:00 | 2135   | Mallorie Waber      |
| 2021-01-13 00:00:00 | 2121   | Kaine Padly         |
| 2021-01-14 00:00:00 | 6881   | Karlen McCaffrey    |
| 2021-01-14 00:00:00 | 1239   | Roddy Speechley     |
| 2021-01-14 00:00:00 | 3598   | Marney O'Breen      |
| 2021-01-14 00:00:00 | 6580   | Madelene Upcott     |
| 2021-01-14 00:00:00 | 1127   | Ches Bonnell        |
| 2021-01-14 00:00:00 | 3605   | Jehu Rudeforth      |
| 2021-01-14 00:00:00 | 5096   | Andria Kimpton      |
| 2021-01-14 00:00:00 | 2135   | Camilla Castle      |
| 2021-01-14 00:00:00 | 35     | Jan Morforth        |
| 2021-01-14 00:00:00 | 13090  | Husein Augar        |
| 2021-01-14 00:00:00 | 15785  | Gigi Bohling        |
| 2021-01-14 00:00:00 | 14574  | Oby Sorrel          |
| 2021-01-14 00:00:00 | 3556   | Husein Augar        |
| 2021-01-14 00:00:00 | 14532  | Dennison Crosswaite |
| 2021-01-14 00:00:00 | 4445   | Van Tuxwell         |
| 2021-01-14 00:00:00 | 10339  | Rafaelita Blaksland |
| 2021-01-14 00:00:00 | 1351   | Gunar Cockshoot     |
| 2021-01-14 00:00:00 | 4011   | Dennison Crosswaite |
| 2021-01-14 00:00:00 | 5306   | Rafaelita Blaksland |
| 2021-01-14 00:00:00 | 18704  | Roddy Speechley     |
| 2021-01-14 00:00:00 | 9310   | Mallorie Waber      |
| 2021-01-14 00:00:00 | 1211   | Wilone O'Kielt      |
| 2021-01-15 00:00:00 | 3094   | Andria Kimpton      |
| 2021-01-15 00:00:00 | 4949   | Rafaelita Blaksland |
| 2021-01-15 00:00:00 | 308    | Curtice Advani      |
| 2021-01-15 00:00:00 | 7546   | Husein Augar        |
| 2021-01-15 00:00:00 | 6713   | Karlen McCaffrey    |
| 2021-01-15 00:00:00 | 6895   | Dotty Strutley      |
| 2021-01-15 00:00:00 | 3430   | Dennison Crosswaite |
| 2021-01-18 00:00:00 | 4165   | Mallorie Waber      |
| 2021-01-18 00:00:00 | 2380   | Camilla Castle      |
| 2021-01-18 00:00:00 | 6594   | Gunar Cockshoot     |
| 2021-01-18 00:00:00 | 1428   | Wilone O'Kielt      |
| 2021-01-18 00:00:00 | 2646   | Beverie Moffet      |
| 2021-01-18 00:00:00 | 238    | Brien Boise         |
| 2021-01-18 00:00:00 | 945    | Roddy Speechley     |
| 2021-01-18 00:00:00 | 9436   | Husein Augar        |
| 2021-01-18 00:00:00 | 4081   | Rafaelita Blaksland |
| 2021-01-18 00:00:00 | 10556  | Wilone O'Kielt      |
| 2021-01-18 00:00:00 | 2331   | Barr Faughny        |
| 2021-01-19 00:00:00 | 896    | Husein Augar        |
| 2021-01-19 00:00:00 | 4214   | Oby Sorrel          |
| 2021-01-19 00:00:00 | 2121   | Oby Sorrel          |
| 2021-01-19 00:00:00 | 1029   | Van Tuxwell         |
| 2021-01-19 00:00:00 | 15407  | Ches Bonnell        |
| 2021-01-19 00:00:00 | 10129  | Gunar Cockshoot     |
| 2021-01-19 00:00:00 | 16380  | Jan Morforth        |
| 2021-01-19 00:00:00 | 3899   | Roddy Speechley     |
| 2021-01-19 00:00:00 | 12075  | Gigi Bohling        |
| 2021-01-19 00:00:00 | 10696  | Husein Augar        |
| 2021-01-19 00:00:00 | 4039   | Beverie Moffet      |
| 2021-01-19 00:00:00 | 5250   | Madelene Upcott     |
| 2021-01-19 00:00:00 | 8113   | Mallorie Waber      |
| 2021-01-19 00:00:00 | 161    | Ches Bonnell        |
| 2021-01-19 00:00:00 | 8218   | Kaine Padly         |
| 2021-01-19 00:00:00 | 742    | Curtice Advani      |
| 2021-01-19 00:00:00 | 3087   | Gunar Cockshoot     |
| 2021-01-19 00:00:00 | 5110   | Ches Bonnell        |
| 2021-01-19 00:00:00 | 5873   | Wilone O'Kielt      |
| 2021-01-19 00:00:00 | 4641   | Husein Augar        |
| 2021-01-20 00:00:00 | 1155   | Wilone O'Kielt      |
| 2021-01-20 00:00:00 | 784    | Brien Boise         |
| 2021-01-20 00:00:00 | 5369   | Camilla Castle      |
| 2021-01-20 00:00:00 | 343    | Brien Boise         |
| 2021-01-20 00:00:00 | 7007   | Brien Boise         |
| 2021-01-20 00:00:00 | 126    | Kelci Walkden       |
| 2021-01-20 00:00:00 | 3073   | Marney O'Breen      |
| 2021-01-21 00:00:00 | 7805   | Beverie Moffet      |
| 2021-01-21 00:00:00 | 3087   | Andria Kimpton      |
| 2021-01-21 00:00:00 | 9030   | Jan Morforth        |
| 2021-01-21 00:00:00 | 7805   | Wilone O'Kielt      |
| 2021-01-21 00:00:00 | 6979   | Madelene Upcott     |
| 2021-01-21 00:00:00 | 11284  | Beverie Moffet      |
| 2021-01-21 00:00:00 | 2408   | Rafaelita Blaksland |
| 2021-01-21 00:00:00 | 5299   | Gunar Cockshoot     |
| 2021-01-21 00:00:00 | 6293   | Brien Boise         |
| 2021-01-21 00:00:00 | 280    | Ches Bonnell        |
| 2021-01-21 00:00:00 | 644    | Gigi Bohling        |
| 2021-01-21 00:00:00 | 2191   | Kaine Padly         |
| 2021-01-21 00:00:00 | 427    | Marney O'Breen      |
| 2021-01-21 00:00:00 | 5537   | Dotty Strutley      |
| 2021-01-21 00:00:00 | 742    | Madelene Upcott     |
| 2021-01-21 00:00:00 | 4200   | Van Tuxwell         |
| 2021-01-21 00:00:00 | 5299   | Ches Bonnell        |
| 2021-01-21 00:00:00 | 3829   | Ches Bonnell        |
| 2021-01-21 00:00:00 | 5747   | Oby Sorrel          |
| 2021-01-21 00:00:00 | 2345   | Curtice Advani      |
| 2021-01-22 00:00:00 | 4312   | Karlen McCaffrey    |
| 2021-01-22 00:00:00 | 1358   | Camilla Castle      |
| 2021-01-22 00:00:00 | 13146  | Barr Faughny        |
| 2021-01-22 00:00:00 | 12047  | Gigi Bohling        |
| 2021-01-22 00:00:00 | 5971   | Ches Bonnell        |
| 2021-01-22 00:00:00 | 3038   | Marney O'Breen      |
| 2021-01-22 00:00:00 | 8022   | Oby Sorrel          |
| 2021-01-22 00:00:00 | 2226   | Marney O'Breen      |
| 2021-01-22 00:00:00 | 2366   | Brien Boise         |
| 2021-01-22 00:00:00 | 8386   | Roddy Speechley     |
| 2021-01-22 00:00:00 | 13230  | Gunar Cockshoot     |
| 2021-01-22 00:00:00 | 1771   | Rafaelita Blaksland |
| 2021-01-22 00:00:00 | 3416   | Jan Morforth        |
| 2021-01-22 00:00:00 | 15197  | Rafaelita Blaksland |
| 2021-01-22 00:00:00 | 5971   | Ches Bonnell        |
| 2021-01-22 00:00:00 | 13335  | Dennison Crosswaite |
| 2021-01-22 00:00:00 | 4613   | Van Tuxwell         |
| 2021-01-22 00:00:00 | 10430  | Karlen McCaffrey    |
| 2021-01-22 00:00:00 | 168    | Oby Sorrel          |
| 2021-01-22 00:00:00 | 4606   | Camilla Castle      |
| 2021-01-22 00:00:00 | 1491   | Husein Augar        |
| 2021-01-25 00:00:00 | 12194  | Dennison Crosswaite |
| 2021-01-25 00:00:00 | 10122  | Karlen McCaffrey    |
| 2021-01-25 00:00:00 | 1841   | Andria Kimpton      |
| 2021-01-25 00:00:00 | 6958   | Marney O'Breen      |
| 2021-01-25 00:00:00 | 749    | Kaine Padly         |
| 2021-01-25 00:00:00 | 3507   | Marney O'Breen      |
| 2021-01-25 00:00:00 | 7294   | Rafaelita Blaksland |
| 2021-01-25 00:00:00 | 5040   | Brien Boise         |
| 2021-01-25 00:00:00 | 3913   | Brien Boise         |
| 2021-01-25 00:00:00 | 3598   | Andria Kimpton      |
| 2021-01-25 00:00:00 | 8911   | Beverie Moffet      |
| 2021-01-25 00:00:00 | 42     | Ches Bonnell        |
| 2021-01-25 00:00:00 | 2282   | Jan Morforth        |
| 2021-01-25 00:00:00 | 12964  | Van Tuxwell         |
| 2021-01-25 00:00:00 | 5775   | Andria Kimpton      |
| 2021-01-25 00:00:00 | 10787  | Marney O'Breen      |
| 2021-01-25 00:00:00 | 6342   | Oby Sorrel          |
| 2021-01-25 00:00:00 | 11564  | Dotty Strutley      |
| 2021-01-25 00:00:00 | 2793   | Gunar Cockshoot     |
| 2021-01-25 00:00:00 | 1603   | Madelene Upcott     |
| 2021-01-25 00:00:00 | 3052   | Curtice Advani      |
| 2021-01-25 00:00:00 | 1659   | Karlen McCaffrey    |
| 2021-01-25 00:00:00 | 3143   | Barr Faughny        |
| 2021-01-25 00:00:00 | 12782  | Dennison Crosswaite |
| 2021-01-25 00:00:00 | 343    | Mallorie Waber      |
| 2021-01-25 00:00:00 | 1785   | Brien Boise         |
| 2021-01-25 00:00:00 | 4914   | Brien Boise         |
| 2021-01-26 00:00:00 | 1869   | Madelene Upcott     |
| 2021-01-26 00:00:00 | 8512   | Wilone O'Kielt      |
| 2021-01-26 00:00:00 | 9296   | Van Tuxwell         |
| 2021-01-26 00:00:00 | 6034   | Oby Sorrel          |
| 2021-01-26 00:00:00 | 9471   | Jehu Rudeforth      |
| 2021-01-26 00:00:00 | 3815   | Kelci Walkden       |
| 2021-01-26 00:00:00 | 9485   | Barr Faughny        |
| 2021-01-26 00:00:00 | 3549   | Marney O'Breen      |
| 2021-01-26 00:00:00 | 1512   | Wilone O'Kielt      |
| 2021-01-26 00:00:00 | 2296   | Jan Morforth        |
| 2021-01-27 00:00:00 | 17402  | Husein Augar        |
| 2021-01-27 00:00:00 | 11816  | Kelci Walkden       |
| 2021-01-27 00:00:00 | 10612  | Rafaelita Blaksland |
| 2021-01-27 00:00:00 | 5558   | Barr Faughny        |
| 2021-01-27 00:00:00 | 14056  | Mallorie Waber      |
| 2021-01-27 00:00:00 | 5131   | Andria Kimpton      |
| 2021-01-27 00:00:00 | 1477   | Marney O'Breen      |
| 2021-01-27 00:00:00 | 7686   | Curtice Advani      |
| 2021-01-27 00:00:00 | 8722   | Van Tuxwell         |
| 2021-01-27 00:00:00 | 6370   | Ches Bonnell        |
| 2021-01-27 00:00:00 | 4074   | Gunar Cockshoot     |
| 2021-01-27 00:00:00 | 1309   | Roddy Speechley     |
| 2021-01-27 00:00:00 | 4991   | Kaine Padly         |
| 2021-01-27 00:00:00 | 6965   | Wilone O'Kielt      |
| 2021-01-27 00:00:00 | 10199  | Kelci Walkden       |
| 2021-01-27 00:00:00 | 7392   | Karlen McCaffrey    |
| 2021-01-27 00:00:00 | 5880   | Barr Faughny        |
| 2021-01-27 00:00:00 | 5950   | Wilone O'Kielt      |
| 2021-01-27 00:00:00 | 10395  | Dotty Strutley      |
| 2021-01-27 00:00:00 | 6174   | Jehu Rudeforth      |
| 2021-01-27 00:00:00 | 15239  | Wilone O'Kielt      |
| 2021-01-27 00:00:00 | 2219   | Mallorie Waber      |
| 2021-01-27 00:00:00 | 3150   | Rafaelita Blaksland |
| 2021-01-27 00:00:00 | 2968   | Rafaelita Blaksland |
| 2021-01-27 00:00:00 | 3241   | Dennison Crosswaite |
| 2021-01-27 00:00:00 | 3605   | Kelci Walkden       |
| 2021-01-28 00:00:00 | 3640   | Oby Sorrel          |
| 2021-01-28 00:00:00 | 1309   | Husein Augar        |
| 2021-01-28 00:00:00 | 10346  | Jan Morforth        |
| 2021-01-28 00:00:00 | 1071   | Kelci Walkden       |
| 2021-01-28 00:00:00 | 6328   | Husein Augar        |
| 2021-01-28 00:00:00 | 1820   | Kaine Padly         |
| 2021-01-28 00:00:00 | 3437   | Andria Kimpton      |
| 2021-01-28 00:00:00 | 4550   | Rafaelita Blaksland |
| 2021-01-28 00:00:00 | 2968   | Barr Faughny        |
| 2021-01-28 00:00:00 | 12565  | Dotty Strutley      |
| 2021-01-28 00:00:00 | 8246   | Rafaelita Blaksland |
| 2021-01-28 00:00:00 | 1190   | Andria Kimpton      |
| 2021-01-28 00:00:00 | 3283   | Roddy Speechley     |
| 2021-01-28 00:00:00 | 3087   | Ches Bonnell        |
| 2021-01-28 00:00:00 | 6531   | Oby Sorrel          |
| 2021-01-28 00:00:00 | 4228   | Marney O'Breen      |
| 2021-01-28 00:00:00 | 10094  | Roddy Speechley     |
| 2021-01-28 00:00:00 | 182    | Mallorie Waber      |
| 2021-01-28 00:00:00 | 616    | Jehu Rudeforth      |
| 2021-01-29 00:00:00 | 12131  | Roddy Speechley     |
| 2021-01-29 00:00:00 | 2394   | Kaine Padly         |
| 2021-01-29 00:00:00 | 14287  | Karlen McCaffrey    |
| 2021-01-29 00:00:00 | 10941  | Husein Augar        |
| 2021-01-29 00:00:00 | 7777   | Roddy Speechley     |
| 2021-01-29 00:00:00 | 9436   | Curtice Advani      |
| 2021-01-29 00:00:00 | 1267   | Kaine Padly         |
| 2021-01-29 00:00:00 | 8806   | Kaine Padly         |
| 2021-01-29 00:00:00 | 3640   | Curtice Advani      |
| 2021-01-29 00:00:00 | 4900   | Kaine Padly         |
| 2021-01-29 00:00:00 | 5558   | Madelene Upcott     |
| 2021-01-29 00:00:00 | 9142   | Camilla Castle      |
| 2021-01-29 00:00:00 | 3514   | Dennison Crosswaite |
| 2021-01-29 00:00:00 | 140    | Beverie Moffet      |
| 2021-02-01 00:00:00 | 11844  | Kelci Walkden       |
| 2021-02-01 00:00:00 | 6517   | Gunar Cockshoot     |
| 2021-02-01 00:00:00 | 8715   | Kaine Padly         |
| 2021-02-01 00:00:00 | 4851   | Gigi Bohling        |
| 2021-02-01 00:00:00 | 10983  | Barr Faughny        |
| 2021-02-01 00:00:00 | 3290   | Mallorie Waber      |
| 2021-02-01 00:00:00 | 6545   | Husein Augar        |
| 2021-02-01 00:00:00 | 441    | Gunar Cockshoot     |
| 2021-02-01 00:00:00 | 9849   | Dotty Strutley      |
| 2021-02-01 00:00:00 | 3073   | Andria Kimpton      |
| 2021-02-01 00:00:00 | 4452   | Rafaelita Blaksland |
| 2021-02-01 00:00:00 | 10220  | Karlen McCaffrey    |
| 2021-02-01 00:00:00 | 3150   | Andria Kimpton      |
| 2021-02-01 00:00:00 | 6083   | Kaine Padly         |
| 2021-02-01 00:00:00 | 14063  | Ches Bonnell        |
| 2021-02-01 00:00:00 | 4578   | Kaine Padly         |
| 2021-02-01 00:00:00 | 6454   | Beverie Moffet      |
| 2021-02-02 00:00:00 | 6650   | Kelci Walkden       |
| 2021-02-02 00:00:00 | 2436   | Barr Faughny        |
| 2021-02-02 00:00:00 | 6944   | Mallorie Waber      |
| 2021-02-02 00:00:00 | 19817  | Gigi Bohling        |
| 2021-02-02 00:00:00 | 3521   | Barr Faughny        |
| 2021-02-02 00:00:00 | 10458  | Karlen McCaffrey    |
| 2021-02-02 00:00:00 | 1302   | Roddy Speechley     |
| 2021-02-02 00:00:00 | 7952   | Brien Boise         |
| 2021-02-02 00:00:00 | 4753   | Jan Morforth        |
| 2021-02-02 00:00:00 | 11452  | Husein Augar        |
| 2021-02-02 00:00:00 | 9345   | Gunar Cockshoot     |
| 2021-02-02 00:00:00 | 7490   | Marney O'Breen      |
| 2021-02-02 00:00:00 | 1519   | Camilla Castle      |
| 2021-02-02 00:00:00 | 3087   | Andria Kimpton      |
| 2021-02-02 00:00:00 | 2352   | Curtice Advani      |
| 2021-02-02 00:00:00 | 11578  | Rafaelita Blaksland |
| 2021-02-02 00:00:00 | 462    | Husein Augar        |
| 2021-02-03 00:00:00 | 6916   | Roddy Speechley     |
| 2021-02-03 00:00:00 | 3248   | Husein Augar        |
| 2021-02-03 00:00:00 | 6475   | Camilla Castle      |
| 2021-02-03 00:00:00 | 9009   | Van Tuxwell         |
| 2021-02-03 00:00:00 | 2835   | Rafaelita Blaksland |
| 2021-02-03 00:00:00 | 7644   | Dotty Strutley      |
| 2021-02-03 00:00:00 | 3360   | Beverie Moffet      |
| 2021-02-03 00:00:00 | 1379   | Beverie Moffet      |
| 2021-02-03 00:00:00 | 9534   | Jehu Rudeforth      |
| 2021-02-03 00:00:00 | 14448  | Rafaelita Blaksland |
| 2021-02-03 00:00:00 | 3829   | Roddy Speechley     |
| 2021-02-04 00:00:00 | 9086   | Gunar Cockshoot     |
| 2021-02-04 00:00:00 | 5803   | Kelci Walkden       |
| 2021-02-04 00:00:00 | 182    | Camilla Castle      |
| 2021-02-04 00:00:00 | 9863   | Madelene Upcott     |
| 2021-02-04 00:00:00 | 4046   | Curtice Advani      |
| 2021-02-04 00:00:00 | 3493   | Andria Kimpton      |
| 2021-02-04 00:00:00 | 392    | Jan Morforth        |
| 2021-02-04 00:00:00 | 2534   | Gigi Bohling        |
| 2021-02-04 00:00:00 | 7084   | Jehu Rudeforth      |
| 2021-02-04 00:00:00 | 4809   | Gigi Bohling        |
| 2021-02-04 00:00:00 | 7959   | Marney O'Breen      |
| 2021-02-04 00:00:00 | 10521  | Kelci Walkden       |
| 2021-02-04 00:00:00 | 56     | Kelci Walkden       |
| 2021-02-04 00:00:00 | 3017   | Beverie Moffet      |
| 2021-02-04 00:00:00 | 18949  | Karlen McCaffrey    |
| 2021-02-04 00:00:00 | 8764   | Roddy Speechley     |
| 2021-02-04 00:00:00 | 12201  | Dotty Strutley      |
| 2021-02-04 00:00:00 | 11935  | Oby Sorrel          |
| 2021-02-04 00:00:00 | 3724   | Barr Faughny        |
| 2021-02-04 00:00:00 | 2646   | Van Tuxwell         |
| 2021-02-04 00:00:00 | 686    | Gunar Cockshoot     |
| 2021-02-04 00:00:00 | 2037   | Karlen McCaffrey    |
| 2021-02-04 00:00:00 | 6300   | Van Tuxwell         |
| 2021-02-04 00:00:00 | 2541   | Husein Augar        |
| 2021-02-04 00:00:00 | 1883   | Wilone O'Kielt      |
| 2021-02-04 00:00:00 | 10255  | Ches Bonnell        |
| 2021-02-05 00:00:00 | 5803   | Jehu Rudeforth      |
| 2021-02-05 00:00:00 | 8260   | Andria Kimpton      |
| 2021-02-05 00:00:00 | 14868  | Roddy Speechley     |
| 2021-02-05 00:00:00 | 4137   | Gunar Cockshoot     |
| 2021-02-05 00:00:00 | 7161   | Brien Boise         |
| 2021-02-05 00:00:00 | 9625   | Roddy Speechley     |
| 2021-02-05 00:00:00 | 12852  | Beverie Moffet      |
| 2021-02-05 00:00:00 | 7546   | Madelene Upcott     |
| 2021-02-05 00:00:00 | 4123   | Beverie Moffet      |
| 2021-02-05 00:00:00 | 13174  | Mallorie Waber      |
| 2021-02-05 00:00:00 | 7637   | Rafaelita Blaksland |
| 2021-02-05 00:00:00 | 3311   | Madelene Upcott     |
| 2021-02-05 00:00:00 | 2338   | Mallorie Waber      |
| 2021-02-08 00:00:00 | 3465   | Curtice Advani      |
| 2021-02-08 00:00:00 | 2345   | Rafaelita Blaksland |
| 2021-02-08 00:00:00 | 12698  | Madelene Upcott     |
| 2021-02-08 00:00:00 | 6678   | Barr Faughny        |
| 2021-02-08 00:00:00 | 4851   | Karlen McCaffrey    |
| 2021-02-08 00:00:00 | 336    | Ches Bonnell        |
| 2021-02-08 00:00:00 | 2366   | Karlen McCaffrey    |
| 2021-02-08 00:00:00 | 10598  | Ches Bonnell        |
| 2021-02-08 00:00:00 | 13293  | Barr Faughny        |
| 2021-02-08 00:00:00 | 2086   | Van Tuxwell         |
| 2021-02-08 00:00:00 | 2751   | Wilone O'Kielt      |
| 2021-02-08 00:00:00 | 5481   | Dennison Crosswaite |
| 2021-02-08 00:00:00 | 5628   | Andria Kimpton      |
| 2021-02-08 00:00:00 | 2660   | Jehu Rudeforth      |
| 2021-02-09 00:00:00 | 1386   | Oby Sorrel          |
| 2021-02-09 00:00:00 | 11060  | Rafaelita Blaksland |
| 2021-02-09 00:00:00 | 2919   | Marney O'Breen      |
| 2021-02-09 00:00:00 | 8680   | Camilla Castle      |
| 2021-02-09 00:00:00 | 1484   | Andria Kimpton      |
| 2021-02-09 00:00:00 | 16919  | Rafaelita Blaksland |
| 2021-02-09 00:00:00 | 13188  | Mallorie Waber      |
| 2021-02-09 00:00:00 | 4998   | Husein Augar        |
| 2021-02-09 00:00:00 | 6146   | Dotty Strutley      |
| 2021-02-09 00:00:00 | 5621   | Beverie Moffet      |
| 2021-02-09 00:00:00 | 980    | Madelene Upcott     |
| 2021-02-10 00:00:00 | 7343   | Jan Morforth        |
| 2021-02-10 00:00:00 | 1750   | Barr Faughny        |
| 2021-02-10 00:00:00 | 2464   | Gigi Bohling        |
| 2021-02-10 00:00:00 | 1974   | Andria Kimpton      |
| 2021-02-10 00:00:00 | 11823  | Jehu Rudeforth      |
| 2021-02-10 00:00:00 | 7350   | Kelci Walkden       |
| 2021-02-10 00:00:00 | 4165   | Kelci Walkden       |
| 2021-02-10 00:00:00 | 630    | Gunar Cockshoot     |
| 2021-02-10 00:00:00 | 2282   | Andria Kimpton      |
| 2021-02-10 00:00:00 | 5250   | Rafaelita Blaksland |
| 2021-02-10 00:00:00 | 11676  | Curtice Advani      |
| 2021-02-10 00:00:00 | 14917  | Rafaelita Blaksland |
| 2021-02-11 00:00:00 | 4634   | Jehu Rudeforth      |
| 2021-02-11 00:00:00 | 819    | Gigi Bohling        |
| 2021-02-11 00:00:00 | 2422   | Brien Boise         |
| 2021-02-11 00:00:00 | 1463   | Jan Morforth        |
| 2021-02-11 00:00:00 | 1050   | Kelci Walkden       |
| 2021-02-11 00:00:00 | 1526   | Oby Sorrel          |
| 2021-02-11 00:00:00 | 427    | Gunar Cockshoot     |
| 2021-02-11 00:00:00 | 10976  | Curtice Advani      |
| 2021-02-12 00:00:00 | 6503   | Wilone O'Kielt      |
| 2021-02-12 00:00:00 | 21     | Jan Morforth        |
| 2021-02-12 00:00:00 | 7063   | Gigi Bohling        |
